name	sources	files	one_liner	layer	scope	vertical	status	traction	priority	profile_depth	wiki_slug	task_horizon	pricing_model
/dev/agents	Index	vc-us-b.md	Operating system for AI agents	L1	horizontal	general	active	$56M seed 2024 at $500M valuation	normal			unknown	unknown
100x	YC S22	yc-2021-22.md	platform to create, share, and monetize AI agents	L2	horizontal	general	active	none visible	normal			unknown	unknown
10x Science	YC W26	yc-2026.md	Automates protein characterization for drug developers	L3	vertical	healthcare	active	none visible	high	base	10x-science	unknown	unknown
11x	gtm:tofu;seed:L3;Benchmark	gtm-carry.md;kp-vertical-b.md;vc-us-a.md	AI SDR digital workers; the category's cautionary tale	L3	vertical	GTM/sales	active	customer-claims scandal, CEO exit, AI SDR walkback	high	deep	11x	long-horizon	platform+subscription
14.ai	ext:L3;YC W24	kp-vertical-a.md;yc-2024.md	AI-native customer service agency for startups	L3	vertical	customer service	active	$3M seed (2026); YC	high	deep	14-ai	persistent	unknown
1mind	Battery	vc-us-b.md	AI superhumans for AI-led sales	L3	vertical	GTM/sales	active	$40M launch 2025, Battery-backed	normal			unknown	unknown
7ai	seed:L3;Greylock;Index	kp-vertical-b.md;vc-us-a.md;vc-us-b.md	Autonomous AI agents for security operations	L3	vertical	security	active	$130M Series A (Dec 2025)	high	deep	7ai	multi-step	unknown
A1Base	YC W25	yc-2025.md	Communication APIs letting AI agents send email, Slack, SMS, WhatsApp	L1	horizontal	general	active	none visible	high	base	a1base	unknown	unknown
Aampe	Z47, Peak XV	vc-in.md	Agentic AI platform for in-app user engagement personalization	L3	vertical	GTM/marketing	active	$7.5M led by Z47 and Peak XV 2023	normal			unknown	unknown
Abel	YC S24	yc-2024.md	Automating police paperwork	L3	vertical	government	active	none visible	high	base	abel	multi-step	unknown
Abridge	seed:L3;Lightspeed	kp-vertical-b.md;vc-us-a.md	AI clinical documentation turning visits into notes	L3	vertical	healthcare	active	$5.3B valuation; $100M+ ARR (Aug 2026)	high	deep	abridge	multi-step	unknown
Abundant	YC F24;YC W25	yc-2024.md;yc-2025.md	Agent simulation and RL for researchers	L1	horizontal	general	active	none visible	high	base	abundant	unknown	unknown
Accend	YC S23	yc-2023.md	Human-in-the-loop AI agents for commercial underwriting and onboarding	L3	vertical	fintech	active	$3.2M raised	normal			unknown	unknown
Accenture	seed:L4	kp-infra.md	Global SI with large agentic AI practice and platforms	L4	horizontal	general	active	AI Refinery platform; NVIDIA partnership	high	deep	accenture	long-horizon	unknown
Acrely	YC S25	yc-2025.md	Enterprise voice agents with cloud and on-prem deployment	X	horizontal	general	active	none visible	high	base	acrely	unknown	unknown
Activepieces	ext:L2;YC S22	kp-platforms.md;yc-2021-22.md	Open-source, AI-first no-code business automation platform	L2	horizontal	general	pivoted	Active open-source community	normal			unknown	unknown
Ada	seed:L3;Accel;Bessemer	kp-vertical-a.md;vc-us-a.md;vc-us-b.md	AI agent platform for enterprise customer service	L3	vertical	customer service	active	Doubled YoY growth (2026); unicorn since 2021	high	deep	ada	multi-step	usage
Adam	YC W25	yc-2025.md	AI agent automating hardware engineering across CAD, PLM, supplier tools	L3	vertical	hardware engineering	active	none visible	high	deep	adam	persistent	per-seat
Adaptional	YC S25	yc-2025.md	Underwriter AI pre-processing every insurance submission	L3	vertical	insurance	active	none visible	high	base	adaptional	unknown	unknown
Adept AI	Greylock	vc-us-a.md	AI agents that operate enterprise software workflows	L2	horizontal	general	acquired	Team and technology absorbed by Amazon	normal			unknown	unknown
Admyral	YC W25	yc-2025.md	Open-source security automation workflows built on AI agents	L3	vertical	security	active	none visible	high	base	admyral	unknown	unknown
Adobe Agent Orchestrator	ext:L5	kp-suites.md	Agent orchestration layer on Adobe Experience Platform	L5	horizontal	general	active	none visible	normal			unknown	unknown
Adopt AI	Elevation	vc-in.md	Agentifies applications with auto-generated actions and interfaces	L2	horizontal	general	active	$6M seed led by Elevation 2025	normal			unknown	unknown
ADP Assist	ext:L5	kp-suites.md	AI agents purpose-built for HR and payroll	L5	vertical	HR	active	none visible	normal			unknown	unknown
Aemon	YC W26	yc-2026.md	Autonomous AI research systems for technical optimization	L3	vertical	software engineering	active	none visible	high	base	aemon	unknown	unknown
Aether	YC W24	yc-2024.md	AI sales platform for home services	L3	vertical	GTM/sales	active	none visible	high	base	aether	unknown	unknown
Affineon Health	AI Fund	vc-ai.md	AI agents for healthcare administrative workflows	L3	vertical	healthcare	active	$5M raised Feb 2025	normal			unknown	unknown
Affogato AI	YC S21	yc-2021-22.md	AI video agent producing short-form video ads	L3	vertical	GTM and marketing	active	team 15	normal			unknown	unknown
Agara	Blume	vc-in.md	Autonomous voice and email AI for customer support	X	vertical	customer service	acquired	Acquired by Coinbase 2021	normal			unknown	unknown
Agency AI	Menlo	vc-us-b.md	AI agent automating customer success tasks	L3	vertical	customer success	active	Menlo Ser A 2025	normal			unknown	unknown
Agency Tool Company	YC S26	yc-2026.md	Infrastructure for robotics teams to manage robots	L1	horizontal	general	active	none visible	high	base	agency-tool-company	persistent	unknown
Agent FM	YC S26	yc-2026.md	Observability and narration for AI coding agents	L1	horizontal	general	active	none visible	high	base	agent-fm	multi-step	unknown
Agent.ai	seed:L5	kp-suites.md	Agent network and marketplace from HubSpot cofounder	L2	horizontal	general	active	3 million registered users (reported)	normal			unknown	unknown
Agentcard	YC S26	yc-2026.md	Autonomous payment cards for AI agents	L1	horizontal	general	active	none visible	high	base	agentcard	unknown	unknown
AgentHub	YC S25	yc-2025.md	RL simulation and evaluation engine for AI agents	L1	horizontal	general	active	none visible	high	base	agenthub	unknown	unknown
Agentic Fabriq	YC W26	yc-2026.md	Identity and access governance for AI agents	L1	horizontal	general	active	none visible	high	base	agentic-fabriq	unknown	unknown
Agentin AI	YC W25	yc-2025.md	Agents automating quote-to-cash across SAP, Salesforce, NetSuite	L3	vertical	finance	active	none visible	high	base	agentin-ai	unknown	unknown
Agentive	YC S23	yc-2023.md	AI agents performing audit testing for accounting firms	L3	vertical	finance	active	none visible	normal			unknown	unknown
AgentMail	YC S25	yc-2025.md	Email inbox API giving AI agents their own mailboxes	L1	horizontal	general	active	none visible	high	base	agentmail	unknown	unknown
AgentOps	ext:L1	kp-infra.md	Monitoring, testing, and analysis for AI agents	L1	horizontal	general	active	$2.6M pre-seed (2024)	normal			unknown	unknown
AgentQL	ext:X	kp-infra.md	Query language for web data extraction by agents	X	horizontal	general	active	Parent TinyFish raised $47M (2025)	high	deep	agentql	multi-step	unknown
AGI	ext:L3	kp-vertical-b.md	AI-native platform for insurance brokerages	L3	vertical	insurance	active	$70M raised (Jul 2026)	high	deep	agi	unknown	unknown
Agno	ext:OSS;seed:L2	kp-infra.md;kp-platforms.md	Framework for building multimodal agent teams	L2	horizontal	general	active	$3M seed (2025)	normal			unknown	unknown
Agnost AI	YC S26	yc-2026.md	Product analytics for conversational agents	L1	horizontal	general	active	none visible	high	base	agnost-ai	unknown	unknown
Aim Security	seed:L1	kp-infra.md	Enterprise security platform for AI agents	L1	horizontal	general	acquired	$18M Series A (2024)	high	deep	aim-security	unknown	other
AIMon	Bessemer	vc-us-b.md	LLM evaluation and hallucination monitoring	L1	horizontal	general	active	$2.3M seed 2024; BVP investor	normal			unknown	unknown
AIR Security	ext:L1	kp-infra.md	Firewall vetting skills and add-ons agents use	L1	horizontal	general	active	$50M raised (Sept 2026)	high	deep	air-security	unknown	unknown
AirMDR	Foundation Capital	vc-ai.md	AI-analyst-driven managed detection and response	L3	vertical	security	active	$15.5M raised July 2025	normal			unknown	unknown
Airtable AI Agents	ext:L5	kp-suites.md	Agents working inside records and connected data	L5	horizontal	general	active	none visible	normal			unknown	unknown
Airtop	ext:X	kp-infra.md	Browser automation for AI agents	X	horizontal	general	active	$38.8M raised (2025)	high	deep	airtop	multi-step	usage
AiSDR	gtm:tofu;ext:L3;YC S23	gtm-carry.md;kp-vertical-b.md;yc-2023.md	Lean AI sales agent covering prospect-to-booked-meeting, HubSpot-centric	L3	vertical	GTM/sales	active	from $250 monthly	normal			unknown	unknown
Aisera	ext:L2;seed:L3;Khosla Ventures;Menlo	kp-platforms.md;kp-vertical-a.md;vc-us-a.md;vc-us-b.md	AI agent platform for IT, HR, and customer service workflows	L2	horizontal	general	acquired	$90M Series D 2022 led by Thoma Bravo and Goldman	high	base	aisera	unknown	unknown
Akon Labs	YC S26	yc-2026.md	Nervous system for AI agents	L1	horizontal	general	active	none visible	high	base	akon-labs	unknown	unknown
Alexi	ext:L3	kp-vertical-b.md	AI legal research memos for litigators	L3	vertical	legal	active	$11M Series A (2024)	normal			unknown	unknown
Aligned	gtm:cpq	gtm-carry.md	AI Deal Workspace with Seller and Buyer agents over cross-source deal context	L3	vertical	GTM/sales	active	ARR tripled pre-raise	high	deep	aligned	multi-step	per-seat
Alkera AI	YC S26	yc-2026.md	AI agent for automating data pipeline development	L3	vertical	software engineering	active	none visible	high	base	alkera-ai	unknown	unknown
Alltius	Blume	vc-in.md	Agentic AI suite for financial services customer interactions	L3	vertical	finance	active	$2.4M pre-seed 2023	normal			unknown	unknown
Alta	ext:L3	kp-vertical-b.md	AI-native operating layer for revenue teams	L3	vertical	GTM/sales	active	$25M Series A (Jul 2026)	normal			unknown	unknown
Alter	YC S25	yc-2025.md	Zero-trust access control wrapping every agent tool call	L1	horizontal	general	active	none visible	high	base	alter	unknown	freemium
Altrina	YC W25	yc-2025.md	Universal BPO agent learning and executing SOPs across back offices	L3	horizontal	BPO/back office	active	none visible	high	base	altrina	multi-step	per-outcome
Altur	YC S25	yc-2025.md	Voice AI agents for debt collection	L3	vertical	finance	active	none visible	high	base	altur	unknown	unknown
Amazon Bedrock Agents	seed:L5	kp-suites.md	Managed agent orchestration, demoted to Classic status	L2	horizontal	general	pivoted	Renamed Bedrock Agents Classic July 2026	normal			unknown	unknown
Amazon Q Business	ext:L5	kp-suites.md	Enterprise assistant closed to new customers, migrating to Quick	L2	horizontal	general	pivoted	no longer open to new customers (2026)	normal			unknown	unknown
Amazon Q Developer	ext:L5	kp-suites.md	AWS coding agent winding down, users directed to Kiro	L3	vertical	software engineering	pivoted	end of support April 2027	normal			unknown	unknown
Amazon Quick	ext:L5	kp-suites.md	Agentic assistant for work, successor to Amazon Q Business	L2	horizontal	general	active	new 2026 launch; uptake undisclosed	normal			unknown	unknown
Ambience	seed:L3	kp-vertical-b.md	AI medical scribes and coding automation for health systems	L3	vertical	healthcare	active	$243M Series C; unicorn (Jul 2025)	high	deep	ambience	multi-step	unknown
Ambral	YC S25	yc-2025.md	AI account managers autonomously driving expansions and renewals	L3	vertical	GTM/sales	active	none visible	high	base	ambral	unknown	unknown
Amelia	seed:L2	kp-platforms.md	Enterprise conversational AI and automation platform from IPsoft	L2	horizontal	general	acquired	Acquired by SoundHound for $80M Aug 2024	normal			unknown	unknown
Amera	YC F25	yc-2025.md	Automates health claims processing for insurance payers	L3	vertical	insurance	active	none visible	high	base	amera	unknown	unknown
Amigo	Madrona	vc-us-c.md	Infrastructure for secure compliant clinical AI agents	L1	vertical	healthcare	active	$11M Ser A 2026	normal			unknown	unknown
Amigo AI	ext:L3	kp-vertical-b.md	Patient-facing clinical AI agents	L3	vertical	healthcare	active	$11M Series A (Mar 2026)	normal			unknown	unknown
Amika	YC F25	yc-2025.md	Infrastructure for software factories of sandboxed coding agents	L1	horizontal	general	active	none visible	high	base	amika	multi-step	unknown
Amorphic Labs	YC S26	yc-2026.md	AI agent generating personalized product demo videos for sales	L3	vertical	sales	active	none visible	high	base	amorphic-labs	unknown	unknown
Amperos	Bessemer	vc-us-b.md	Multi-agent platform for medical claims processing	L3	vertical	healthcare	active	BVP-backed, early stage	normal			unknown	unknown
Amulet	YC S26	yc-2026.md	Shared storage infrastructure for AI agents	L1	horizontal	general	active	none visible	high	base	amulet	persistent	unknown
Anchorhead	YC W26	yc-2026.md	Design editor for AI coding agents to collaborate	L1	horizontal	general	active	none visible	high	base	anchorhead	unknown	unknown
Andon Labs	YC W24	yc-2024.md	Autonomous organizations without humans in the loop	L2	horizontal	general	active	none visible	high	base	andon-labs	unknown	unknown
Anglera	YC S24	yc-2024.md	AI-Powered Product Data Enrichment	L3	vertical	retail/ecommerce	active	none visible	high	base	anglera	unknown	unknown
Ankr Health	YC W22	yc-2021-22.md	generative AI recreating clinic staff functions	L3	vertical	healthcare	active	integrates with top EHRs	normal			unknown	unknown
Anterior	seed:L3;NEA	kp-vertical-b.md;vc-us-b.md	AI automating prior authorization and clinical workflows	L3	vertical	healthcare	active	$40M round (Feb 2026); $64M total	high	deep	anterior	long-horizon	unknown
