name	sources	files	one_liner	layer	scope	vertical	status	traction	priority
/dev/agents	Index	vc-us-b.md	Operating system for AI agents	L1	horizontal	general	active	$56M seed 2024 at $500M valuation	normal
100x	YC S22	yc-2021-22.md	platform to create, share, and monetize AI agents	L2	horizontal	general	active	none visible	normal
10x Science	YC W26	yc-2026.md	Automates protein characterization for drug developers	L3	vertical	healthcare	active	none visible	high
11x	gtm:tofu;seed:L3;Benchmark	gtm-carry.md;kp-vertical-b.md;vc-us-a.md	AI SDR digital workers; the category's cautionary tale	L3	vertical	GTM/sales	active	customer-claims scandal, CEO exit, AI SDR walkback	high
14.ai	ext:L3;YC W24	kp-vertical-a.md;yc-2024.md	AI-native customer service agency for startups	L3	vertical	customer service	active	$3M seed (2026); YC	high
1mind	Battery	vc-us-b.md	AI superhumans for AI-led sales	L3	vertical	GTM/sales	active	$40M launch 2025, Battery-backed	normal
7ai	seed:L3;Greylock;Index	kp-vertical-b.md;vc-us-a.md;vc-us-b.md	Autonomous AI agents for security operations	L3	vertical	security	active	$130M Series A (Dec 2025)	high
A1Base	YC W25	yc-2025.md	Communication APIs letting AI agents send email, Slack, SMS, WhatsApp	L1	horizontal	general	active	none visible	high
Aampe	Z47, Peak XV	vc-in.md	Agentic AI platform for in-app user engagement personalization	L3	vertical	GTM/marketing	active	$7.5M led by Z47 and Peak XV 2023	normal
Abel	YC S24	yc-2024.md	Automating police paperwork	L3	vertical	government	active	none visible	high
Abridge	seed:L3;Lightspeed	kp-vertical-b.md;vc-us-a.md	AI clinical documentation turning visits into notes	L3	vertical	healthcare	active	$5.3B valuation; $100M+ ARR (Aug 2026)	high
Abundant	YC F24;YC W25	yc-2024.md;yc-2025.md	Agent simulation and RL for researchers	L1	horizontal	general	active	none visible	high
Accend	YC S23	yc-2023.md	Human-in-the-loop AI agents for commercial underwriting and onboarding	L3	vertical	fintech	active	$3.2M raised	normal
Accenture	seed:L4	kp-infra.md	Global SI with large agentic AI practice and platforms	L4	horizontal	general	active	AI Refinery platform; NVIDIA partnership	high
Acrely	YC S25	yc-2025.md	Enterprise voice agents with cloud and on-prem deployment	X	horizontal	general	active	none visible	high
Activepieces	ext:L2;YC S22	kp-platforms.md;yc-2021-22.md	Open-source, AI-first no-code business automation platform	L2	horizontal	general	pivoted	Active open-source community	normal
Ada	seed:L3;Accel;Bessemer	kp-vertical-a.md;vc-us-a.md;vc-us-b.md	AI agent platform for enterprise customer service	L3	vertical	customer service	active	Doubled YoY growth (2026); unicorn since 2021	high
Adam	YC W25	yc-2025.md	AI agent automating hardware engineering across CAD, PLM, supplier tools	L3	vertical	hardware engineering	active	none visible	high
Adaptional	YC S25	yc-2025.md	Underwriter AI pre-processing every insurance submission	L3	vertical	insurance	active	none visible	high
Adept AI	Greylock	vc-us-a.md	AI agents that operate enterprise software workflows	L2	horizontal	general	acquired	Team and technology absorbed by Amazon	normal
